plot	genre
Год 1988. Огромный взрыв наподобие тех, что без малого полвека назад сотрясли Хиросиму и Нагасаки, стирает Токио с лица земли. Нью-Токио 2019 года, восставшее из пепла, словно тёмный Феникс. Организация страны теперь напоминает тоталитарное государство, железной рукой подавляющее подпольное Сопротивление. В исследовательских центрах проводятся парапсихологические опыты над людьми для разработки совершенного вида оружия. А в стране возникает религиозный культ сверхчеловека по имени Акира, приход которого, якобы, решит все проблемы Японии. В центре повествования - банда байкеров-подростков во главе с лихачом Канэдой. В очередной разборке с соперниками друг Канэды Тэцуо пытается доказать товарищам свою доблесть, но неожиданно для себя оказывается вовлечённым в правительственный эксперимент по извлечению энергии Акиры. Тэцуо становится обладателем силы, способной полностью разрушить Нью-Токио. Кто сможет его остановить?	фантастика
Никогда еще в школьном аниме не собиралась такая веселая и сплоченная девичья компания. 10-летний гений Тиё-тян – маленькое чудо с косичками. Красавица Сакаки-сан с фигурой супермодели и безответной любовью ко всем окрестным кошкам. Очкастая отличница Ёми, теряющая спокойствие (регулярно) только по двум причинам: первая – показания весов, вторая – проделки лучшей подруги, гиперактивной Томо. Спортсменка Кагура, готовая поддержать любые начинания. И напоследок уникальный мыслитель Аюму по прозвищу «Осака» – другой такой в аниме просто нет. Роли их наставниц и старших подруг играют две молодые учительницы – «англичанка» Юкари, которую чаще зовут «Юкари-тян», и физкультурница Минамо, сохранившая студенческую кличку «Нямо».Сюжет сериала описывает жизнь и приключения героинь в течение всех трех лет старшей школы – от поступления до окончания. Вроде бы обычная рутина – занятия и экзамены, праздники и каникулы, прогулки и вечерние посиделки, культурный и спортивный фестивали, школьные экскурсии – показаны с такой неистощимой выдумкой и оригинальным юмором, что «Адзуманга» не зря, как следует из названия, считается «королевой школьного жанра»!	повседневность
Через предательство и кровь к власти пришел новый король. Его демоны-подручные чинят несправедливости до тех пор, пока в город однажды ночью не приходит тяжело вооруженный воин. Весь покрытый оружием, броней и шрамами, он называет себя Чёрным Мечником. Размеры его меча могут сравниться только с его ненавистью к королю и его демонам.Итак, «Берсерк», по сути своей - это средневековая военная драма с множественными вкраплениями элементов фэнтези и хоррора. Центром всего повествования является жизненный путь бывшего наёмника, а ныне охотника на демонов, Гатса. Сюжет «Берсерка» буквально погружает нас в водоворот, состоящий из предательства, судьбы, магии, демонов, и, конечно же, эльфов и т.д.«Мы должны взять судьбу в свои руки и не позволить ей решать, как нам жить и как умереть» - это и есть основная мысль «Берсерка», которая раскрывается перед нами на протяжении всего аниме-сериала. В то же время, в нём рассматривается вопрос - насколько далеко может зайти человек, и скольким/и он может пожертвовать ради того, чтобы достигнуть своей мечты?	повседневность
Девочка Мимико – сирота. У нее нет ни папы, ни мамы, есть только старенькая бабушка, которой не по силам растить внучку. Но Мимико не унывает; она уверена, что справится со всем, благо готовить и стирать она умеет, а воров и разбойников не боится!И вот однажды во двор к Мимико забирается незваный гость – детеныш панды, а за ним приходит и Папа-панда. Папа-панда – обаятельный и положительный господин, с твердыми представлениями о том, как нужно растить детей. Детей должны растить родители! А у Мимико их нет... Недолго поразмыслив, Папа-Панда решает удочерить Мимико: «Папе трудно стать мамой, а вот стать папой два раза – в этом нет ничего невозможного».	романтика
Насколько связана реальность и виртуальный мир? Четырнадцатилетняя школьница Лэйн не задумывалась над этим вопросом. Эта замкнутая тихая девушка, «ещё ребёнок», как говорят о ней одноклассницы, вообще мало чем интересуется, прячется от всех с любимым плюшевым мишкой и редко подходит к своему простенькому компьютеру.Но однажды всё изменилось. Несчастье, произошедшее с Тисой Ёмодой из параллельного класса, и электронное сообщение, которого не должно было быть, –  всё это побудило Лэйн исследовать пространство Сети, и она попросила у отца-программиста купить ей более совершенную модель компьютера. Тем временем из разговора подруг девушка узнала, что в клубе Сайберия видели её двойника – «другую Лэйн». Загадки и странные события врываются в спокойную жизнь, и в попытках разобраться Лэйн всё глубже погружается в бездну вечных вопросов о реальности и её восприятии, памяти и сознании, Боге и человечестве в целом.Созданный в то время, когда ещё только исследовались возможности «электронного» общения, этот сериал стал своего рода каноном жанра киберпанк. Однако «Серийные эксперименты Лэйн» не выглядит устаревшими – благодаря сложности затронутых тем, интересным визуальным находкам, а также из-за того, что история девушки, которая ищет в Сети саму себя, остаётся актуальной и по сей день.	фантастика
На горе – утюг завода, под горой живет Наота. Наота Нандаба – 12-летний школьник, в жизни которого нет ничего хорошего. Старший брат уехал играть в бейсбол в Америку, отец – великовозрастный отаку, дед – старый извращенец. Мамими – девушка брата, с которой Наота тусуется по вечерам – на редкость странная персона и смотрит на него, как на ребенка. Вот только скучать парню осталось недолго – благодаря веселой Харуко Харухаре, сбивающей Наоту на своей желтой «Веспе». Добавив бедолаге для верности по лбу синей бас-гитарой «Рикенбэкер», Харуко мастерски выполняет искусственное дыхание, а затем, чтобы окончательно добить несчастного, устраивается в холостяцкий дом Нандаба горничной.Вот и пришел конец мирной жизни - городок Мабасэ встает на уши. Из головы персонажей лезут роботы, из космоса – вообще неясно кто, кругом орудуют агенты темных и светлых сил, и все они  спокойно общаются с обычными японскими школьниками, помогая решать вечные подростковые проблемы. Фантазия и реальность смешиваются так, что уже не разбираются ни герои, ни зрители. Только зачем разбираться – надо смотреть! Такое надо смотреть…	романтика
Студент первого курса Кэйити Морисато всего лишь набрал телефонный номер, собираясь заказать себе обед на дом, но не успел он повесить трубку, как из зеркала на стене появилась девушка, назвавшаяся богиней Верданди. Оказалось, что парень дозвонился в службу «Божественной Помощи», сотрудники которой, богини, предлагают нуждающимся в помощи людям исполнить любое их желание! Подумав, что всё это - шутка друзей, Кэйити решает подыграть им и желает, чтобы прекрасная Верданди всегда была рядом! Разумеется, желание тотчас исполняется, богиня остаётся с ним и становится его подружкой. Однако вскоре на Земле появляются божественные сёстры Верданди - Урд и Скульд, одна из которых изо всех сил пытается устроить личную жизнь Кэйити и Верданди, а вторая - всячески этому помешать. Может ли простой парень рассчитывать на любовь настоящей богини, если у их союза, к тому же, есть не только божественные союзники, но и могущественные противники?	романтика
Сюжет «Яйца ангела» нелегко передать словами. Это аниме скорее о форме, нежели о содержании, тут предпочитают недомолвки прямым откровениям. Философичность фильма подчёркивается диковинной мрачноватой графикой и редкими диалогами героев, не проясняющими происходящее, а даже ещё более запутывающими. В «Яйце ангела» всего два главных персонажа - маленькая девочка, не расстающаяся с загадочным яйцом, и мужчина, носящий с собой странный крест. Зрителям предоставляется самим поразмыслить о том, кто же они такие и что делают в окружающем их пугающем мире. Впрочем, любые чёткие ответы только нарушили бы таинственность этого философского фильма...	драма
В разгар дня на оживленной улице юная Хару храбро выхватывает из-под колес грузовика очаровательного кота. К ее великому удивлению, кот встает на задние лапки и благодарит Хару на человеческом языке. Оказывается, перед ней принц из загадочного Кошачьего царства, и теперь могущественный Кошачий царь хочет женить его на отважной спасительнице. Вскоре он похищает Хару, которая вовсе не желает быть кошачьей принцессой, и только верные усатые и хвостатые друзья - толстый бродяга Мьюта и великолепный Барон смогут вызволить ее из кошачьего плена. Впереди их ждут неожиданные встречи и самые невероятные приключения в неведомом Царстве Кошек. Сумеет ли Хару найти дорогу домой?	повседневность
Хидэки Мотосува приезжает в Токио, мечтая поступить в университет. Но пока все его внимание занимает чудо современной техники - андроиды «персокомы» - умные помощники человека, дорогие игрушки, совершенно неотличимые от людей. Вскоре происходит невероятное событие: среди мусора Хидэки находит… брошенного персокома! Теперь у него есть своя очаровательная и верная подруга, но что-то с ней не так… Длинноволосая красавица с бездонными глазами произносит только звук «чии» и может функционировать без всяких программ. Благодаря Чи ни один день не проходит для Хидэки без приключений и сюрпризов, но ему никак не удается разгадать тайну своей удивительной находки. Единственная ниточка - молва об уникальных «персокомах» под названием «Чобиты», которым гениальный создатель даровал волю и разум. Неужели это не просто слухи?	романтика
